t,question,A,B,C,Answerkey,,,
51,Which word has the same beginning sound pattern as 'phrase'?,phone,skunk,scale,A,,,
52,Which word has the same beginning sound pattern as 'whale'?,white,rose,legs,A,,,
53,Which word has the same beginning sound pattern as 'this'?,that,three,queen,A,,,
54,Which word has the same beginning sound pattern as 'three'?,think,bank,pink,A,,,
55,Which word has the same beginning sound pattern as 'queen'?,quilt,tent,paint,A,,,
56,Which word has the same beginning sound pattern as 'squirrel'?,square,stop,splash,A,,,
57,Which word has the same beginning sound pattern as 'skunk'?,school,stay,smoke,A,,,
58,Which word has the same beginning sound pattern as 'dress'?,drum,jeans,giant,A,,,
59,Which word has the same beginning sound pattern as 'dream'?,dress,jazz,gentel,A,,,
60,Which word has the same beginning sound pattern as 'change'?,chicken,tree,ship,A,,,
61,Which word has the same beginning sound pattern as 'stop'?,student,spoon,smoke,A,,,
62,Which word has the same beginning sound pattern as 'spray'?,spring,splash,squid,A,,,
63,Which word has the same beginning sound pattern as 'string'?,strong,square,skunk,A,,,
64,Which word has the same beginning sound pattern as 'splash'?,splint,school,desk,A,,,
65,Which word has the same beginning sound pattern as 'squid'?,square,spray,string,A,,,
66,Which word rhymes with 'ice'?,rice,rose,legs,A,,,
67,Which word rhymes with 'king'?,long,bank,pink,A,,,
68,Which word rhymes with 'bank'?,pink,wind,hand,A,,,
69,Which word rhymes with 'wind'?,hand,tent,paint,A,,,
70,Which word rhymes with 'tent'?,paint,belt,adult,A,,,
71,Which word rhymes with 'belt'?,adult,lamp,camp,A,,,
72,Which word rhymes with 'lamp'?,camp,land,lamb,A,,,
73,Which word rhymes with 'shell'?,fish,chick,lunch,A,,,
74,Which word rhymes with 'chick'?,pick,phone,whale,A,,,
75,Which word rhymes with 'duck'?,rock,queen,quilt,A,,,
76,Which word rhymes with 'test'?,fast,smile,smoke,A,,,
77,Which word rhymes with 'rice'?,mice,jazz,legs,A,,,
78,Which word rhymes with 'orange'?,cage,church,wash,A,,,
79,Which word rhymes with 'rose'?,jeans,ice,dress,A,,,
80,Which word rhymes with 'cheese'?,legs,dice,face,A,,,
81,Which word rhymes with 'fish'?,brush,watch,grass,A,,,
82,Which word rhymes with 'watch'?,catch,cash,orange,A,,,
83,Which word rhymes with 'black'?,duck,log,act,A,,,
84,Which word rhymes with 'rice'?,ice,buzz,tooth,A,,,
85,Which word rhymes with 'swing'?,wing,swim,dream,A,,,
86,Which word rhymes with 'ice'?,rice,rose,legs,A,,,
87,Which word rhymes with 'king'?,swing,bin,swim,A,,,
88,Which word rhymes with 'bank'?,pink,wind,hand,A,,,
89,Which word rhymes with 'wind'?,hand,tent,paint,A,,,
90,Which word rhymes with 'tent'?,paint,belt,adult,A,,,
91,Which word rhymes with 'belt'?,adult,lamp,camp,A,,,
92,Which word rhymes with 'lamp'?,camp,skunk,desk,A,,,
93,Which word rhymes with 'fish'?,brush,frog,grass,A,,,
94,Which word rhymes with 'watch'?,catch,plate,sleep,A,,,
95,Which word rhymes with 'duck'?,rocket,queen,quilt,A,,,
96,Which word rhymes with 'test'?,fast,smile,smoke,A,,,
97,Which word rhymes with 'rose'?,jeans,scale,school,A,,,
98,Which word rhymes with 'cheese'?,legs,black,blanket,A,,,
99,Which word rhymes with 'orange'?,cage,rose,jeans,A,,,
100,Which word rhymes with 'camp'?,stamp,stand,cape,A,,,
